TITLE: Water balance - stream discharge from Degerö catchment north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2012-04-25 - 2023-11-23
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Degerö, C18
LATITUDE: 64.188711
LONGITUDE: 19.543273
ALTITUDE: 265.8 m a.s.l

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: SITES_WB-SL_SVB-DEG-C18_20090417-20231123_L2_daily.csv - https://meta.fieldsites.se/objects/zt8K4r9_Mbh8wHfcp83lvpmk
Document - Description of flume see PDF: SITES_WB-Q_SVB_DEG-C18_discharge-description_from_2012.pdf - https://meta.fieldsites.se/objects/ntI69_FEOojpTH6jml-X5tmF, Catchment area 2.729 km2

PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD] UTC+1
Q - discharge (m3 s-1) daily average of 5 min sampling intervals calculated from stream level data and flume characteristics.
####
TIMESTAMP,Q
2013-03-19,0.004347554
2013-03-20,0.004342602
2013-03-21,0.00424802
2013-03-22,0.004074967
2013-03-23,0.003899203
2013-03-24,0.003732212
2013-03-25,0.003603867
2013-03-26,0.003646807
2013-03-27,0.003763258
2013-03-28,0.003714127
2013-03-29,0.003659485
2013-03-30,0.003754971
2013-03-31,0.003731283
2013-04-01,0.003683371
2013-04-02,0.003652096
2013-04-03,0.003512675
2013-04-04,0.003411383
2013-04-05,0.003361534
2013-04-06,0.003236202
2013-04-07,0.003212747
2013-04-08,0.003160871
2013-04-09,0.003088301
2013-04-10,0.003050613
2013-04-11,0.003015537
2013-04-12,0.002978315
2013-04-13,0.002958759
2013-04-14,0.003219806
2013-04-15,0.004370226
2013-04-16,0.006870651
2013-04-17,0.010544248
2013-04-18,0.015825496
2013-04-19,0.084694377
2013-04-20,0.205327168
2013-04-21,0.261366392
2013-04-22,0.342720695
2013-04-23,0.313652027
2013-04-24,0.344097247
2013-04-25,0.352011398
2013-04-26,0.306437898
2013-04-27,0.250128306
2013-04-28,0.188858163
2013-04-29,0.17210752
2013-04-30,0.193095592
2013-05-01,0.189561163
2013-05-02,0.160269438
2013-05-03,0.134527911
2013-05-04,0.115613151
2013-05-05,0.104140503
2013-05-06,0.095174804
2013-05-07,0.08826256
2013-05-08,0.08222485
2013-05-09,0.106777027
2013-05-10,0.177857706
2013-05-11,0.170518399
2013-05-12,0.144931864
2013-05-13,0.11290552
2013-05-14,0.094687497
2013-05-15,0.100423712
2013-05-16,0.084932872
2013-05-17,0.072342987
2013-05-18,0.061453699
2013-05-19,0.051144866
2013-05-20,0.041297434
2013-05-21,0.032606289
2013-05-22,0.026753922
2013-05-23,0.02121534
2013-05-24,0.017107888
2013-05-25,0.01435804
2013-05-26,0.012136104
2013-05-27,0.010208113
2013-05-28,0.008852658
2013-05-29,0.007574204
2013-05-30,0.006433131
2013-05-31,0.005428669
2013-06-01,0.004890921
2013-06-02,0.004698595
2013-06-03,0.004660855
2013-06-04,0.004666364
2013-06-05,0.004401658
2013-06-06,0.004141718
2013-06-07,0.003978342
2013-06-08,0.003936342
2013-06-09,0.003704484
2013-06-10,0.003594658
2013-06-11,0.003607315
2013-06-12,0.003617687
2013-06-13,0.003528053
2013-06-14,0.005011437
2013-06-15,0.00612812
2013-06-16,0.006779334
2013-06-17,0.00815067
2013-06-18,0.008350043
2013-06-19,0.007826987
2013-06-20,0.00772577
2013-06-21,0.007608527
2013-06-22,0.009260364
2013-06-23,0.01010689
2013-06-24,0.009916464
2013-06-25,0.009332605
2013-06-26,0.008233318
2013-06-27,0.009237445
2013-06-28,0.009590858
2013-06-29,0.009521926
2013-06-30,0.009225009
2013-07-01,0.008531145
2013-07-02,0.019729102
2013-07-03,0.034427925
2013-07-04,0.039536828
2013-07-05,0.037476644
2013-07-06,0.036675419
2013-07-07,0.029097147
2013-07-08,0.022028056
2013-07-09,0.017475525
2013-07-10,0.01562568
2013-07-11,0.013237094
2013-07-12,0.011034954
2013-07-13,0.009826995
2013-07-14,0.009616516
2013-07-15,0.010097318
